die,Wiese,meadow,Die Kühe grasen auf der grünen Wiese.,Nature,Beginner,1
das,Moos,moss,Das Moos fühlt sich weich und feucht an.,Nature,Intermediate,2
der,Sumpf,swamp,Im Sumpf muss man vorsichtig sein.,Nature,Advanced,0
die,Ebene,plain/level,Die weite Ebene erstreckt sich bis zum Horizont.,Geography,Advanced,1
das,Gelände,terrain/premises,Das Gelände der Fabrik ist videoüberwacht.,General,Intermediate,2
der,Wegweiser,signpost,Der Wegweiser zeigt in Richtung Stadtzentrum.,Transport,Intermediate,0
die,Fahrbahn,lane/roadway,Die Fahrbahn ist bei Nässe sehr rutschig.,Transport,Intermediate,1
das,Fahrzeug,vehicle,Jedes Fahrzeug muss regelmäßig zum TÜV.,Transport,Beginner,2
der,Wagen,car/wagon,Er hat seinen Wagen in der Einfahrt geparkt.,Transport,Beginner,0
die,Lokomotive,locomotive,Die Lokomotive zieht zehn Waggons.,Transport,Intermediate,1
das,Gleis,track/platform,Der Zug fährt heute auf Gleis fünf ein.,Transport,Beginner,2
der,Fahrplan,timetable,Laut Fahrplan kommt der Bus alle zehn Minuten.,Transport,Beginner,0
die,Verspätung,delay,Der Zug hat leider zwanzig Minuten Verspätung.,Transport,Beginner,1
das,Abteil,compartment,Im Abteil war es ruhig und gemütlich.,Transport,Intermediate,2
der,Schaffner,conductor,Der Schaffner kontrolliert die Fahrkarten.,Transport,Beginner,0
die,Fahrkarte,ticket,Entwerten Sie bitte Ihre Fahrkarte vor der Fahrt.,Transport,Beginner,1
das,Flugticket,flight ticket,Ich habe mein Flugticket online gebucht.,Travel,Beginner,2
der,Flugsteig,gate (airport),Die Passagiere warten am Flugsteig B12.,Travel,Intermediate,0
die,Landebahn,runway,Das Flugzeug setzt auf der Landebahn auf.,Travel,Intermediate,1
das,Visum,visa,Für die Einreise benötigt man ein Visum.,Travel,Intermediate,2
der,Zoll,customs,Wir müssen am Zoll unsere Waren anmelden.,Travel,Intermediate,0
die,Versicherung,insurance,Haben Sie eine Reiseversicherung abgeschlossen?,Finance,Intermediate,1
das,Risiko,risk,Das finanzielle Risiko ist bei diesem Projekt hoch.,Finance,Intermediate,2
der,Schaden,damage,Der Sturm hat am Haus einen großen Schaden angerichtet.,General,Beginner,0
die,Reparatur,repair,Die Reparatur des Autos war sehr teuer.,General,Beginner,1
das,Ersatzteil,spare part,Wir müssen ein Ersatzteil für die Maschine bestellen.,Industry,Intermediate,2
der,Mechaniker,mechanic,Der Mechaniker repariert den Motor.,Professional,Beginner,0
die,Werkstatt,workshop/garage,Das Fahrrad steht zur Reparatur in der Werkstatt.,Professional,Beginner,1
das,Handbuch,manual,Lies bitte das Handbuch vor der ersten Benutzung.,General,Intermediate,2
der,Hinweis,hint/advice,Vielen Dank für diesen wertvollen Hinweis.,Communication,Intermediate,0
die,Anleitung,instruction,In der Anleitung steht, wie man den Schrank aufbaut.,General,Beginner,1
das,Verfahren,procedure,Das rechtliche Verfahren kann Monate dauern.,Legal,Advanced,2
der,Antrag,application/request,Ich habe einen Antrag auf Urlaub gestellt.,Professional,Intermediate,0
die,Genehmigung,permission/approval,Die Genehmigung für den Bau liegt endlich vor.,Legal,Advanced,1
das,Zertifikat,certificate,Er erhielt ein Zertifikat für den Sprachkurs.,Education,Intermediate,2
der,Abschluss,graduation/degree,Nach dem Abschluss möchte sie reisen.,Education,Intermediate,0
die,Prüfung,exam,Die mündliche Prüfung findet am Montag statt.,Education,Beginner,1
der,Rundfunk,broadcasting,Der öffentlich-rechtliche Rundfunk informiert die Bürger.,Media,Advanced,0
die,Sendung,broadcast/program,Meine Lieblingssendung beginnt um acht Uhr.,Media,Beginner,1
das,Fernsehen,television (medium),Das Fernsehen hat an Bedeutung verloren.,Media,Beginner,2
der,Spielfilm,feature film,Der Spielfilm dauert heute Überlänge.,Media,Intermediate,0
die,Dokumentation,documentary,Ich habe eine interessante Dokumentation über Wölfe gesehen.,Media,Intermediate,1
das,Radio,radio,Wir hören beim Frühstück immer Radio.,Media,Beginner,2
der,Sender,channel/station,Welcher Sender überträgt das Fußballspiel?,Media,Beginner,0
die,Werbung,advertising,Die Werbung im Fernsehen ist oft sehr laut.,Media,Beginner,1
das,Plakat,poster,An der Litfaßsäule klebt ein neues Plakat.,Media,Beginner,2
der,Moderator,presenter/host,Der Moderator führt charmant durch die Show.,Media,Intermediate,0
die,Moderatorin,presenter (female),Die Moderatorin stellt die Gäste vor.,Media,Intermediate,1
das,Publikum,audience,Das Publikum klatscht nach dem Auftritt.,Media,Intermediate,2
der,Auftritt,appearance/performance,Der erste Auftritt der Band war ein Erfolg.,Arts,Intermediate,0
die,Probe,rehearsal/sample,Die Theatergruppe trifft sich heute zur Probe.,Arts,Intermediate,1
das,Kostüm,costume,Für den Karneval braucht sie ein buntes Kostüm.,Arts,Beginner,2
der,Eintritt,entry/admission,Der Eintritt in den Club ist heute frei.,Leisure,Beginner,0
die,Einladung,invitation,Vielen Dank für die nette Einladung zur Party.,Social,Beginner,1
das,Fest,celebration/festival,Das ganze Dorf feiert ein großes Fest.,Social,Beginner,2
der,Feiertag,public holiday,Morgen ist ein gesetzlicher Feiertag.,Social,Beginner,0
die,Tradition,tradition,Diese Tradition wird seit Generationen gepflegt.,Social,Intermediate,1
das,Brauchtum,customs/tradition,Das regionale Brauchtum ist sehr vielfältig.,Social,Advanced,2
der,Gastgeber,host,Der Gastgeber begrüßt seine Freunde an der Tür.,Social,Intermediate,0
die,Gastgeberin,hostess,Unsere Gastgeberin hat ein tolles Buffet vorbereitet.,Social,Intermediate,1
das,Willkommen,welcome,Ein herzliches Willkommen an alle Gäste.,Social,Beginner,2
der,Abschied,farewell,Der Abschied am Flughafen war sehr traurig.,Social,Intermediate,0
die,Erinnerung,memory,Dieses Foto ist eine schöne Erinnerung.,General,Beginner,1
das,Ereignis,event/occurrence,Die Hochzeit war ein unvergessliches Ereignis.,General,Intermediate,2
der,Zufall,coincidence,Wir haben uns nur durch Zufall getroffen.,General,Intermediate,0
die,Absicht,intention,Das war keine Absicht, es tut mir leid.,General,Intermediate,1
das,Geheimnis,secret,Ich kann dir mein Geheimnis nicht verraten.,General,Beginner,2
der,Sinn,sense/meaning,Welchen Sinn hat diese Übung?,General,Intermediate,0
die,Vernunft,reason/sanity,Man sollte immer mit Vernunft handeln.,General,Advanced,1
das,Gewissen,conscience,Er hat ein schlechtes Gewissen, weil er gelogen hat.,General,Intermediate,2
der,Glaube,faith/belief,Der Glaube spielt in seinem Leben eine große Rolle.,Social,Intermediate,0
die,Religion,religion,Es gibt viele verschiedene Religionen auf der Welt.,Social,Beginner,1
das,Gebet,prayer,In der Kirche spricht man ein Gebet.,Social,Intermediate,2
der,Tempel,temple,Der alte Tempel ist eine berühmte Sehenswürdigkeit.,Buildings,Intermediate,0
die,Moschee,mosque,Die Moschee hat ein wunderschönes Minarett.,Buildings,Intermediate,1
das,Kloster,monastery,Die Mönche leben sehr zurückgezogen im Kloster.,Buildings,Intermediate,2
der,Priester,priest,Der Priester hält die Predigt am Sonntag.,Professional,Intermediate,0
die,Nonne,nun,Die Nonne arbeitet im Krankenhaus des Klosters.,Professional,Intermediate,1
das,Grab,grave,Auf dem Friedhof besuchen sie das Grab der Oma.,Social,Intermediate,2
der,Friedhof,cemetery,Der Friedhof ist ein Ort der Ruhe.,Places,Beginner,0
die,Trauer,mourning/grief,Die Trauer nach dem Verlust war groß.,Emotions,Intermediate,1
das,Mitleid,compassion,Haben Sie kein Mitleid mit ihm?,Emotions,Intermediate,2
der,Trost,comfort/solace,Musik spendet ihr in schweren Zeiten Trost.,Emotions,Intermediate,0
die,Einsamkeit,loneliness,Viele alte Menschen leiden unter Einsamkeit.,Emotions,Intermediate,1
das,Schicksal,fate/destiny,Man muss sein Schicksal selbst in die Hand nehmen.,General,Advanced,2
der,Zustand,condition,Das Auto ist technisch in einem top Zustand.,General,Beginner,0
die,Lage,situation/location,Die Lage des Hotels direkt am Strand ist perfekt.,General,Beginner,1
der,Organismus,organism,Der menschliche Organismus braucht Vitamine.,Science,Advanced,0
die,Verdauung,digestion,Ballaststoffe sind gut für die Verdauung.,Medical,Intermediate,1
das,Blutgefäß,blood vessel,Das Blut fließt durch die Blutgefäße.,Medical,Advanced,2
der,Puls,pulse,Der Arzt misst den Puls des Patienten.,Medical,Beginner,0
die,Ader,vein/artery,Man kann die Adern unter der Haut sehen.,Medical,Intermediate,1
das,Immunsystem,immune system,Ingwer stärkt das Immunsystem.,Medical,Intermediate,2
der,Stoffwechsel,metabolism,Ein gesunder Stoffwechsel ist wichtig zum Abnehmen.,Medical,Advanced,0
die,Infektion,infection,Die Wunde muss desinfiziert werden, um eine Infektion zu vermeiden.,Medical,Intermediate,1
das,Virus,virus,Das Virus verbreitet sich sehr schnell.,Medical,Beginner,2
der,Bakterium,bacterium,Nicht jedes Bakterium ist schädlich.,Medical,Intermediate,0
die,Impfung,vaccination,Die Impfung schützt vor schweren Krankheiten.,Medical,Beginner,1
das,Symptom,symptom,Fieber ist ein häufiges Symptom für eine Grippe.,Medical,Beginner,2
der,Schmerz,pain,Wo genau haben Sie den Schmerz?,Medical,Beginner,0
die,Wunde,wound,Die Wunde heilt langsam ab.,Medical,Beginner,1
das,Pflaster,plaster/band-aid,Hast du ein Pflaster für meinen Finger?,Medical,Beginner,2
der,Rollstuhl,wheelchair,Das Gebäude ist für Rollstühle zugänglich.,Medical,Beginner,0
die,Krücke,crutch,Nach der Operation musste er an Krücken gehen.,Medical,Intermediate,1
das,Skelett,skeleton,Im Biologieunterricht haben wir das Skelett gelernt.,Science,Intermediate,2
der,Schädel,skull,Der Schädel schützt das Gehirn.,Body,Advanced,0
die,Wirbelsäule,spine,Rückenschmerzen kommen oft von der Wirbelsäule.,Body,Advanced,1
das,Gelenk,joint,Meine Gelenke tun bei Kälte weh.,Body,Intermediate,2
der,Ellbogen,elbow,Er hat sich den Ellbogen am Tisch gestoßen.,Body,Beginner,0
die,Ferse,heel,Die neuen Schuhe drücken an der Ferse.,Body,Intermediate,1
das,Kinn,chin,Er hat ein markantes Kinn.,Body,Beginner,2
der,Oberschenkel,thigh,Sie hat Muskelkater im Oberschenkel.,Body,Intermediate,0
die,Wade,calf,Beim Laufen bekam er einen Krampf in der Wade.,Body,Intermediate,1
das,Schienbein,shin,Er trägt Schienbeinschoner beim Fußball.,Body,Intermediate,2
der,Handel,trade/commerce,Der internationale Handel ist sehr komplex.,Finance,Intermediate,0
die,Ware,goods/merchandise,Die Ware wird morgen geliefert.,Shopping,Beginner,1
das,Lager,warehouse/storage,Die Pakete werden im Lager aufbewahrt.,Industry,Intermediate,2
der,Karton,cardboard box,Pack die Bücher bitte in den Karton.,Objects,Beginner,0
die,Verpackung,packaging,Die Verpackung ist aus recyceltem Papier.,Shopping,Beginner,1
das,Material,material,Welches Material wurde für den Bau verwendet?,General,Beginner,2
der,Beton,concrete,Die Mauer ist aus festem Beton.,Materials,Intermediate,0
die,Ziegel,brick,Das Haus wurde aus roten Ziegeln gebaut.,Materials,Intermediate,1
das,Glas,glass,Vorsicht, das Glas ist zerbrechlich.,Materials,Beginner,2
der,Sand,sand,Die Kinder spielen im Sand.,Nature,Beginner,0
die,Erde,soil/earth,Die Blumen brauchen frische Erde.,Nature,Beginner,1
das,Metall,metal,Das Werkzeug ist aus rostfreiem Metall.,Materials,Beginner,2
der,Draht,wire,Der Zaun ist aus dünnem Draht.,Materials,Intermediate,0
die,Schnur,string/cord,Binde das Paket mit einer Schnur zu.,Objects,Intermediate,1
das,Seil,rope,Die Bergsteiger sichern sich mit einem Seil.,Leisure,Intermediate,2
der,Haken,hook,Häng deine Jacke an den Haken.,Objects,Beginner,0
die,Öffnung,opening,Die Öffnung ist zu klein für das Paket.,General,Intermediate,1
das,Loch,hole,Socken haben oft ein Loch an der Ferse.,Objects,Beginner,2
der,Boden,floor/ground,Der Boden ist frisch gewischt.,Home,Beginner,0
die,Fliese,tile,In der Küche liegen weiße Fliesen.,Home,Intermediate,1
das,Parkett,parquet/hardwood floor,Das Parkett im Wohnzimmer ist sehr edel.,Home,Advanced,2
der,Teppichboden,wall-to-wall carpet,Im Schlafzimmer haben wir einen Teppichboden.,Home,Intermediate,0
die,Tapete,wallpaper,Wir kleben eine neue Tapete an die Wand.,Home,Intermediate,1
der,Elefant,elephant,Der Elefant hat ein sehr gutes Gedächtnis.,Animals,Beginner,0
die,Giraffe,giraffe,Die Giraffe hat einen extrem langen Hals.,Animals,Beginner,1
das,Pferd,horse,Sie reitet jeden Samstag auf ihrem Pferd.,Animals,Beginner,2
der,Esel,donkey,Der Esel trägt schwere Lasten den Berg hinauf.,Animals,Beginner,0
die,Kuh,cow,Die Kuh gibt uns frische Milch.,Animals,Beginner,1
das,Schaf,sheep,Das Schaf hat eine dicke Wolle.,Animals,Beginner,2
der,Löwe,lion,Der Löwe wird oft als König der Tiere bezeichnet.,Animals,Beginner,0
die,Katze,cat,Die Katze schläft gemütlich auf dem Sofa.,Animals,Beginner,1
das,Schwein,pig,Das Schwein suhlt sich gerne im Matsch.,Animals,Beginner,2
der,Vogel,bird,Der Vogel baut ein Nest im Baum.,Animals,Beginner,0
die,Ente,duck,Die Ente schwimmt auf dem Teich.,Animals,Beginner,1
das,Huhn,chicken,Das Huhn legt jeden Morgen ein Ei.,Animals,Beginner,2
der,Hahn,rooster,Der Hahn kräht früh am Morgen.,Animals,Beginner,0
die,Gans,goose,Die Gans bewacht den Bauernhof.,Animals,Beginner,1
das,Kaninchen,rabbit,Das Kaninchen frisst gerne Karotten.,Animals,Beginner,2
der,Fuchs,fox,Der Fuchs ist für seine Schlauheit bekannt.,Animals,Beginner,0
die,Maus,mouse,Die Maus versteckt sich in einem kleinen Loch.,Animals,Beginner,1
das,Eichhörnchen,squirrel,Das Eichhörnchen sammelt Nüsse für den Winter.,Animals,Intermediate,2
der,Bär,bear,Der Bär hält im Winter einen Winterschlaf.,Animals,Beginner,0
die,Spinne,spider,Viele Menschen haben Angst vor einer Spinne.,Animals,Beginner,1
das,Insekt,insect,Ein Insekt hat sechs Beine.,Animals,Intermediate,2
der,Käfer,beetle/bug,Der Käfer krabbelt über das Blatt.,Animals,Beginner,0
die,Biene,bee,Die Biene sammelt Pollen von den Blumen.,Animals,Beginner,1
das,Schaf,sheep,Die Wolle vom Schaf ist sehr warm.,Animals,Beginner,2
der,Wolf,wolf,Der Wolf heult nachts den Mond an.,Animals,Beginner,0
die,Schlange,snake,Die Schlange schlängelt sich durch das Gras.,Animals,Beginner,1
das,Krokodil,crocodile,Das Krokodil lebt in tropischen Flüssen.,Animals,Beginner,2
der,Affe,monkey,Der Affe klettert geschickt von Baum zu Baum.,Animals,Beginner,0
die,Schildkröte,turtle,Die Schildkröte bewegt sich sehr langsam.,Animals,Beginner,1
das,Kamel,camel,Das Kamel kann lange ohne Wasser überleben.,Animals,Beginner,2
der,Bauernhof,farm,Wir verbringen unsere Ferien auf dem Bauernhof.,Agriculture,Beginner,0
die,Landwirtschaft,agriculture,Die Landwirtschaft ist wichtig für die Ernährung.,Agriculture,Intermediate,1
das,Getreide,grain/cereal,Das Getreide wird im Sommer geerbt.,Agriculture,Intermediate,2
der,Weizen,wheat,Aus Weizen wird helles Mehl gemahlen.,Agriculture,Intermediate,0
die,Gerste,barley,Gerste wird oft für die Bierherstellung genutzt.,Agriculture,Advanced,1
das,Futter,animal feed,Der Bauer gibt den Tieren frisches Futter.,Agriculture,Intermediate,2
der,Stall,stable/barn,Die Pferde stehen nachts im Stall.,Agriculture,Beginner,0
die,Ernte,harvest,Die Ernte war dieses Jahr sehr reichlich.,Agriculture,Beginner,1
das,Feld,field,Auf dem Feld wächst goldener Mais.,Agriculture,Beginner,2
der,Traktor,tractor,Der Bauer fährt mit dem Traktor aufs Feld.,Agriculture,Beginner,0
die,Pflanze,plant,Die Pflanze braucht Licht und Wasser.,Nature,Beginner,1
das,Blatt,leaf,Im Herbst färbt sich das Blatt gelb.,Nature,Beginner,2
der,Ast,branch,Der Vogel sitzt auf einem dicken Ast.,Nature,Beginner,0
die,Wurzel,root,Die Wurzeln halten den Baum fest im Boden.,Nature,Intermediate,1
das,Blütenblatt,petal,Das Blütenblatt der Rose ist sehr weich.,Nature,Intermediate,2
der,Samen,seed,Aus einem kleinen Samen wächst ein großer Baum.,Nature,Intermediate,0
die,Pollen,pollen,Viele Menschen sind allergisch gegen Pollen.,Nature,Intermediate,1
das,Ökosystem,ecosystem,Der Wald ist ein komplexes Ökosystem.,Environment,Advanced,2
der,Umweltaspekt,environmental aspect,Wir müssen jeden Umweltaspekt berücksichtigen.,Environment,Advanced,0
die,Nachhaltigkeit,sustainability,Nachhaltigkeit ist das Ziel unserer Firma.,Environment,Intermediate,1
der,Begriff,term/concept,Ich verstehe diesen philosophischen Begriff nicht.,General,Intermediate,0
die,Definition,definition,Die Definition des Wortes steht im Duden.,Education,Intermediate,1
das,Prinzip,principle,Es geht mir hier um das Prinzip.,General,Intermediate,2
der,Aspekt,aspect,Wir müssen diesen Aspekt genauer beleuchten.,General,Intermediate,0
die,Theorie,theory,In der Theorie klingt der Plan sehr einfach.,Science,Beginner,1
das,Modell,model,Das mathematische Modell ist sehr präzise.,Science,Intermediate,2
der,Beweis,proof/evidence,Gibt es einen Beweis für diese Behauptung?,Legal,Intermediate,0
die,Tatsache,fact,Es ist eine Tatsache, dass die Erde rund ist.,General,Intermediate,1
das,Argument,argument,Sein Argument war sehr überzeugend.,Communication,Intermediate,2
der,Einwand,objection,Haben Sie einen Einwand gegen diesen Vorschlag?,Communication,Advanced,0
die,Logik,logic,Ich kann deiner Logik nicht ganz folgen.,General,Intermediate,1
das,Fazit,conclusion/summary,Das Fazit der Studie ist eindeutig.,Education,Intermediate,2
der,Kreis,circle,Die Kinder sitzen in einem Kreis.,Shapes,Beginner,0
die,Ecke,corner,Der Tisch steht in der hinteren Ecke.,Shapes,Beginner,1
das,Dreieck,triangle,Ein Dreieck hat drei Seiten und drei Winkel.,Shapes,Beginner,2
der,Winkel,angle,Die Linien treffen sich im rechten Winkel.,Shapes,Intermediate,0
die,Fläche,area/surface,Die Fläche des Grundstücks ist sehr groß.,General,Intermediate,1
das,Quadrat,square,Ein Quadrat hat vier gleich lange Seiten.,Shapes,Beginner,2
der,Punkt,point/dot,Dieser Punkt auf der Karte ist unser Ziel.,General,Beginner,0
die,Linie,line,Ziehen Sie eine gerade Linie auf dem Papier.,General,Beginner,1
das,Rechteck,rectangle,Ein Fußballfeld hat die Form eines Rechtecks.,Shapes,Intermediate,2
der,Umfang,circumference/scope,Der Umfang des Baumes ist beeindruckend.,General,Intermediate,0
die,Mitte,middle/center,In der Mitte des Raumes steht ein Flügel.,General,Beginner,1
das,Zentrum,center,Wir wohnen direkt im Zentrum der Stadt.,Places,Beginner,2
der,Abstand,distance/gap,Halten Sie bitte ausreichend Abstand.,General,Intermediate,0
die,Richtung,direction,In welche Richtung müssen wir laufen?,General,Beginner,1
das,Ziel,destination/aim,Wir haben unser Ziel fast erreicht.,Travel,Beginner,2
der,Rand,edge/margin,Schreiben Sie bitte nicht an den Rand.,General,Beginner,0
die,Spitze,peak/top,Die Spitze des Berges ist wolkenverhangen.,Nature,Intermediate,1
das,Ende,end,Am Ende des Films wurde es sehr traurig.,General,Beginner,2
der,Anfang,beginning,Aller Anfang ist schwer.,General,Beginner,0
die,Dauer,duration,Die Dauer der Prüfung beträgt zwei Stunden.,Time,Intermediate,1
das,Intervall,interval,Die Züge fahren in einem kurzen Intervall.,Time,Advanced,2
der,Rhythmus,rhythm,Sie tanzt perfekt im Rhythmus der Musik.,Music,Intermediate,0
die,Geschwindigkeit,speed,Die Geschwindigkeit ist auf 50 km/h begrenzt.,Transport,Intermediate,1
das,Tempo,pace/speed,Wir müssen das Tempo ein wenig erhöhen.,General,Beginner,2
der,Druck,pressure,Der Druck im Reifen ist zu niedrig.,Technology,Intermediate,0
die,Kraft,force/strength,Er hat viel Kraft in den Armen.,Body,Beginner,1
das,Gewicht,weight,Das Gewicht des Pakets beträgt fünf Kilo.,General,Beginner,2
der,Inhalt,content,Der Inhalt der Kiste ist noch geheim.,General,Beginner,0
die,Menge,quantity/amount,Wir brauchen eine große Menge an Wasser.,General,Beginner,1
das,Volumen,volume,Das Volumen des Behälters ist begrenzt.,Science,Intermediate,2
der,Wert,value,Das alte Bild hat einen hohen Wert.,General,Beginner,0
die,Bedeutung,meaning/significance,Die Bedeutung dieses Wortes ist unklar.,Education,Beginner,1
das,Symbol,symbol,Die Taube ist ein Symbol für den Frieden.,General,Beginner,2
der,Gegenstand,object/item,Berühren Sie keine metallischen Gegenstände.,General,Intermediate,0
die,Eigenschaft,property/trait,Geduld ist eine gute Eigenschaft.,General,Intermediate,1
das,Verhältnis,relationship/ratio,Das Verhältnis zwischen Preis und Leistung stimmt.,General,Intermediate,2
der,Unterschied,difference,Gibt es einen Unterschied zwischen den Modellen?,General,Beginner,0
die,Ähnlichkeit,similarity,Die Ähnlichkeit zwischen den Brüdern ist groß.,General,Intermediate,1
der,Verstand,mind/intellect,Benutze deinen Verstand, bevor du handelst.,Psychology,Intermediate,0
die,Vernunft,reason/rationality,Manchmal muss die Vernunft über das Gefühl siegen.,Psychology,Advanced,1
das,Bewusstsein,consciousness,Er verlor nach dem Sturz kurz das Bewusstsein.,Psychology,Advanced,2
der,Gedanke,thought,Ich muss meine Gedanken erst einmal ordnen.,Psychology,Beginner,0
die,Erinnerung,memory,Dieses Lied weckt eine schöne Erinnerung in mir.,Psychology,Beginner,1
das,Gedächtnis,memory (capacity),Er hat ein sehr schlechtes Gedächtnis für Namen.,Psychology,Intermediate,2
der,Wille,will/intent,Wo ein Wille ist, da ist auch ein Weg.,Psychology,Intermediate,0
die,Motivation,motivation,Mir fehlt heute einfach die Motivation zum Sport.,Psychology,Beginner,1
das,Interesse,interest,Er zeigt großes Interesse an der Wissenschaft.,Psychology,Beginner,2
der,Ehrgeiz,ambition,Sein großer Ehrgeiz treibt ihn immer weiter an.,Psychology,Intermediate,0
die,Aufmerksamkeit,attention,Bitte schenken Sie mir kurz Ihre Aufmerksamkeit.,Psychology,Beginner,1
das,Konzentrationsvermögen,ability to concentrate,Lärm beeinträchtigt das Konzentrationsvermögen.,Psychology,Advanced,2
der,Instinkt,instinct,Tiere handeln meistens nach ihrem Instinkt.,Psychology,Intermediate,0
die,Intuition,intuition,Meine Intuition sagt mir, dass etwas nicht stimmt.,Psychology,Advanced,1
das,Unterbewusstsein,subconscious,Träume spiegeln oft unser Unterbewusstsein wider.,Psychology,Advanced,2
der,Charakter,character,Er hat einen ehrlichen und offenen Charakter.,People,Beginner,0
die,Persönlichkeit,personality,Sie ist eine sehr starke Persönlichkeit.,People,Intermediate,1
das,Temperament,temperament,Spanier haben oft ein feuriges Temperament.,People,Intermediate,2
der,Optimismus,optimism,Trotz der Krise behält sie ihren Optimismus.,Emotions,Intermediate,0
die,Hoffnung,hope,Die Hoffnung auf Frieden ist groß.,Emotions,Beginner,1
das,Vertrauen,trust,Vertrauen ist die Basis jeder Freundschaft.,Social,Beginner,2
der,Respekt,respect,Gegenseitiger Respekt ist in der Arbeit wichtig.,Social,Beginner,0
die,Toleranz,tolerance,Toleranz gegenüber anderen Kulturen ist wichtig.,Social,Intermediate,1
das,Vorurteil,prejudice,Man sollte seine Vorurteile abbauen.,Social,Intermediate,2
der,Konflikt,conflict,Der Konflikt wurde friedlich gelöst.,Social,Intermediate,0
die,Beziehung,relationship,Sie führen eine sehr glückliche Beziehung.,Social,Beginner,1
das,Verhältnis,relationship/ratio,Ich habe ein gutes Verhältnis zu meinem Chef.,Social,Intermediate,2
der,Partner,partner,Mein Partner unterstützt mich in allen Dingen.,Social,Beginner,0
die,Partnerin,partner (female),Seine Partnerin arbeitet als Ärztin.,Social,Beginner,1
das,Paar,couple,Das Paar geht Hand in Hand durch den Park.,Social,Beginner,2
der,Streit,argument,Der kleine Streit war schnell wieder vergessen.,Social,Beginner,0
die,Versöhnung,reconciliation,Nach dem Streit folgte eine lange Versöhnung.,Social,Advanced,1
das,Gespräch,conversation,Wir müssen ein ernstes Gespräch führen.,Communication,Beginner,2
der,Dialog,dialogue,Ein offener Dialog hilft bei Problemen.,Communication,Intermediate,0
die,Diskussion,discussion,Die Diskussion dauerte bis spät in die Nacht.,Communication,Beginner,1
das,Argument,argument,Das ist ein schlagkräftiges Argument.,Communication,Intermediate,2
der,Vorschlag,suggestion,Ich habe einen besseren Vorschlag für dich.,Communication,Beginner,0
die,Antwort,answer,Ich warte noch auf eine Antwort von ihm.,Communication,Beginner,1
das,Versprechen,promise,Er hat sein Versprechen leider gebrochen.,Communication,Intermediate,2
der,Rat,advice,Darf ich dir einen guten Rat geben?,Communication,Beginner,0
die,Hilfe,help,Vielen Dank für deine schnelle Hilfe.,Social,Beginner,1
das,Mitleid,pity/sympathy,Ich habe kein Mitleid mit unhöflichen Menschen.,Emotions,Intermediate,2
der,Trost,comfort/solace,Seine Worte waren ein großer Trost für sie.,Emotions,Intermediate,0
die,Einsamkeit,loneliness,Er fürchtet sich vor der Einsamkeit im Alter.,Emotions,Intermediate,1
das,Glück,happiness/luck,Glück kann man nicht kaufen.,Emotions,Beginner,2
der,Erfolg,success,Der Erfolg gibt ihm recht.,Professional,Beginner,0
die,Niederlage,defeat,Er musste eine bittere Niederlage einstecken.,Sports,Intermediate,1
das,Ergebnis,result,Das Ergebnis der Untersuchung ist negativ.,General,Beginner,2
der,Zufall,chance/coincidence,Es war reiner Zufall, dass wir uns trafen.,General,Beginner,0
die,Gefahr,danger,In diesem Viertel lauert keine Gefahr.,General,Beginner,1
der,Journalismus,journalism,Der Journalismus spielt eine wichtige Rolle in der Demokratie.,Media,Intermediate,0
die,Presse,press,Die Presse wartet vor dem Regierungsgebäude.,Media,Beginner,1
das,Medium,medium,Das Internet ist das wichtigste Medium unserer Zeit.,Media,Intermediate,2
der,Bericht,report,Er schreibt einen ausführlichen Bericht über den Vorfall.,Media,Beginner,0
die,Schlagzeile,headline,Die Schlagzeile steht groß auf der Titelseite.,Media,Intermediate,1
das,Ereignis,event,Die Mondlandung war ein historisches Ereignis.,General,Intermediate,2
der,Alltag,daily life,Im Alltag vergisst man oft die kleinen Dinge.,General,Beginner,0
die,Routine,routine,Morgens folge ich immer der gleichen Routine.,General,Intermediate,1
das,Abenteuer,adventure,Die Reise durch den Dschungel war ein echtes Abenteuer.,Leisure,Beginner,2
der,Zeitpunkt,point in time,Das ist ein ungünstiger Zeitpunkt für einen Anruf.,Time,Intermediate,0
die,Zeitspanne,period of time,In dieser kurzen Zeitspanne ist viel passiert.,Time,Intermediate,1
das,Jahrhundert,century,Wir leben im einundzwanzigsten Jahrhundert.,Time,Beginner,2
der,Zeitraum,period/timeframe,Der Zeitraum für die Anmeldung ist abgelaufen.,Time,Intermediate,0
die,Gegenwart,present (time),Man sollte mehr in der Gegenwart leben.,Time,Intermediate,1
das,Zeitalter,age/era,Wir befinden uns im digitalen Zeitalter.,Time,Advanced,2
der,Ursprung,origin,Der Ursprung des Flusses liegt in den Bergen.,General,Intermediate,0
die,Quelle,source,Man sollte die Quelle der Information prüfen.,General,Intermediate,1
das,Wesen,being/nature,Er hat ein sehr freundliches Wesen.,People,Intermediate,2
der,Geist,spirit/ghost,Ein gesunder Geist wohnt in einem gesunden Körper.,Psychology,Intermediate,0
die,Seele,soul,Musik ist Balsam für die Seele.,Psychology,Intermediate,1
das,Schicksal,fate,Er glaubt fest an das Schicksal.,General,Advanced,2
der,Zufall,coincidence,War es Planung oder reiner Zufall?,General,Beginner,0
die,Notwendigkeit,necessity,Schlaf ist eine biologische Notwendigkeit.,General,Advanced,1
das,Bedürfnis,need/requirement,Er hat das Bedürfnis nach Ruhe.,General,Intermediate,2
